fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,9.4,5,0
7.8,0.88,0.0,2.6,98,25.0,67.0,9.968,3.2,0.68,9.8,5,1
7.8,0.76,0.04,2.3,92,15.0,54.0,997,3.26,0.65,9.8,5,2
11.2,0.28,0.56,1.9,75,17.0,60.0,998,3.16,0.58,9.8,6,3
7.4,0.7,0.0,1.9,76,11.0,34.0,9.978,3.51,0.56,9.4,5,4
7.4,0.66,0.0,1.8,75,13.0,40.0,9.978,3.51,0.56,9.4,5,5
7.9,0.6,0.06,1.6,69,15.0,59.0,9.964,3.3,0.46,9.4,5,6
7.3,0.65,0.0,1.2,65,15.0,21.0,9.946,3.39,0.47,10.0,7,7
7.8,0.58,0.02,2.0,73,9.0,18.0,9.968,3.36,0.57,9.5,7,8
6.7,0.58,0.08,1.8,9.699.999.999.999.990,15.0,65.0,9.959,3.28,0.54,9.2,5,10
5.6,615,0.0,1.6,8.900.000.000.000.000,16.0,59.0,9.943,3.58,0.52,9.9,5,12
7.8,0.61,0.29,1.6,114,9.0,29.0,9.974,3.26,1.56,9.1,5,13
8.5,0.28,0.56,1.8,92,35.0,103.0,9.969,3.3,0.75,10.5,7,16
7.9,0.32,0.51,1.8,341,17.0,56.0,9.969,03.04,01.08,9.2,6,19
7.6,0.39,0.31,2.3,8.199.999.999.999.990,23.0,71.0,9.982,3.52,0.65,9.7,5,21
7.9,0.43,0.21,1.6,106,10.0,37.0,9.966,3.17,0.91,9.5,5,22
8.5,0.49,0.11,2.3,84,9.0,67.0,9.968,3.17,0.53,9.4,5,23
6.9,0.4,0.14,2.4,85,21.0,40.0,9.968,3.43,0.63,9.7,6,24
6.3,0.39,0.16,1.4,0.08,11.0,23.0,9.955,3.34,0.56,9.3,5,25
7.6,0.41,0.24,1.8,0.08,4.0,11.0,9.962,3.28,0.59,9.5,5,26
7.1,0.71,0.0,1.9,0.08,14.0,35.0,9.972,3.47,0.55,9.4,5,28
7.8,645,0.0,2.0,8.199.999.999.999.990,8.0,16.0,9.964,3.38,0.59,9.8,6,29
6.7,675,0.07,2.4,8.900.000.000.000.000,17.0,82.0,9.958,3.35,0.54,10.1,5,30
8.3,655,0.12,2.3,83,15.0,113.0,9.966,3.17,0.66,9.8,5,32
5.2,0.32,0.25,1.8,10.300.000.000.000.000,13.0,50.0,9.957,3.38,0.55,9.2,5,34
7.8,645,0.0,5.5,86,5.0,18.0,9.986,3.4,0.55,9.6,6,35
7.8,0.6,0.14,2.4,86,3.0,15.0,9.975,3.42,0.6,10.8,6,36
8.1,0.38,0.28,2.1,66,13.0,30.0,9.968,3.23,0.73,9.7,7,37
7.3,0.45,0.36,5.9,7.400.000.000.000.000,12.0,87.0,9.978,3.33,0.83,10.5,5,40
8.8,0.61,0.3,2.8,8.800.000.000.000.000,17.0,46.0,9.976,3.26,0.51,9.3,4,41
7.5,0.49,0.2,2.6,332,8.0,14.0,9.968,3.21,0.9,10.5,6,42
8.1,0.66,0.22,2.2,69,9.0,23.0,9.968,3.3,1.2,10.3,5,43
